image=15, PSNR=25.2468, SSIM=0.8086
image=20, PSNR=23.6499, SSIM=0.7402
image=23, PSNR=22.9333, SSIM=0.7081
image=27, PSNR=28.8774, SSIM=0.9325
image=31, PSNR=24.2616, SSIM=0.7881
image=34, PSNR=28.5328, SSIM=0.9262
image=38, PSNR=29.7321, SSIM=0.9548
image=41, PSNR=26.7979, SSIM=0.8105
image=44, PSNR=24.7156, SSIM=0.7837
image=51, PSNR=29.0651, SSIM=0.8224
image=59, PSNR=30.5301, SSIM=0.9574
image=64, PSNR=26.8692, SSIM=0.9004
image=69, PSNR=26.2966, SSIM=0.8787
image=75, PSNR=23.8091, SSIM=0.7087
image=78, PSNR=26.2509, SSIM=0.8602
image=83, PSNR=29.6587, SSIM=0.9357
image=89, PSNR=25.4145, SSIM=0.7922
image=96, PSNR=22.7509, SSIM=0.6624
image=100, PSNR=25.8053, SSIM=0.8115
image=103, PSNR=25.7157, SSIM=0.8419
image=108, PSNR=26.6424, SSIM=0.8742
image=112, PSNR=32.7709, SSIM=0.9455
image=116, PSNR=24.5542, SSIM=0.8021
image=119, PSNR=24.0205, SSIM=0.7959
image=123, PSNR=26.1429, SSIM=0.8769
mean_PSNR=26.4418, mean_SSIM=0.8368
