image=15, PSNR=23.0728, SSIM=0.6754
image=20, PSNR=22.5133, SSIM=0.6610
image=23, PSNR=21.4739, SSIM=0.5885
image=27, PSNR=22.3999, SSIM=0.6332
image=31, PSNR=21.3609, SSIM=0.5872
image=34, PSNR=23.3197, SSIM=0.6912
image=38, PSNR=23.7857, SSIM=0.7011
image=41, PSNR=22.8201, SSIM=0.6689
image=44, PSNR=23.1433, SSIM=0.6906
image=51, PSNR=23.9234, SSIM=0.7036
image=59, PSNR=23.8674, SSIM=0.7090
image=64, PSNR=23.4175, SSIM=0.7339
image=69, PSNR=22.4441, SSIM=0.6652
image=75, PSNR=22.2830, SSIM=0.6259
image=78, PSNR=22.4400, SSIM=0.6489
image=83, PSNR=23.0901, SSIM=0.6355
image=89, PSNR=23.6948, SSIM=0.6877
image=96, PSNR=21.5152, SSIM=0.5650
image=100, PSNR=22.5066, SSIM=0.6266
image=103, PSNR=22.8621, SSIM=0.6761
image=108, PSNR=23.8803, SSIM=0.7399
image=112, PSNR=22.3046, SSIM=0.6703
image=116, PSNR=21.1065, SSIM=0.5785
image=119, PSNR=21.5963, SSIM=0.6342
image=123, PSNR=22.8423, SSIM=0.6918
mean_PSNR=22.7065, mean_SSIM=0.6596
