image=15, PSNR=27.9045, SSIM=0.8732
image=20, PSNR=21.7381, SSIM=0.5473
image=23, PSNR=26.6607, SSIM=0.8310
image=26, PSNR=32.1821, SSIM=0.9388
image=31, PSNR=27.7828, SSIM=0.8555
image=34, PSNR=29.8945, SSIM=0.9318
image=38, PSNR=27.3588, SSIM=0.8514
image=41, PSNR=29.6579, SSIM=0.9002
image=44, PSNR=27.1370, SSIM=0.8511
image=51, PSNR=27.3567, SSIM=0.8802
image=60, PSNR=25.9708, SSIM=0.7828
image=64, PSNR=25.2818, SSIM=0.7842
image=69, PSNR=26.3552, SSIM=0.8330
image=75, PSNR=26.3111, SSIM=0.8208
image=78, PSNR=23.6730, SSIM=0.7482
image=83, PSNR=25.9876, SSIM=0.7579
image=88, PSNR=29.9236, SSIM=0.9165
image=96, PSNR=29.2023, SSIM=0.9239
image=100, PSNR=27.0727, SSIM=0.8599
image=103, PSNR=23.1081, SSIM=0.6559
image=108, PSNR=25.9201, SSIM=0.8240
image=113, PSNR=24.0421, SSIM=0.6990
image=116, PSNR=27.6779, SSIM=0.8994
image=119, PSNR=28.7382, SSIM=0.8622
image=123, PSNR=23.4644, SSIM=0.6781
mean_PSNR=26.8161, mean_SSIM=0.8202
