image=15, PSNR=22.0318, SSIM=0.5697
image=20, PSNR=21.2138, SSIM=0.5543
image=23, PSNR=22.5569, SSIM=0.6264
image=26, PSNR=23.0609, SSIM=0.6466
image=31, PSNR=21.9525, SSIM=0.6032
image=34, PSNR=22.0874, SSIM=0.5848
image=38, PSNR=23.1940, SSIM=0.6445
image=41, PSNR=23.5362, SSIM=0.6588
image=44, PSNR=23.7365, SSIM=0.6565
image=51, PSNR=22.3787, SSIM=0.5888
image=60, PSNR=22.4531, SSIM=0.6157
image=64, PSNR=22.7716, SSIM=0.6417
image=69, PSNR=21.9254, SSIM=0.5883
image=75, PSNR=22.2593, SSIM=0.6083
image=78, PSNR=20.2569, SSIM=0.5207
image=83, PSNR=23.2451, SSIM=0.6303
image=88, PSNR=21.1270, SSIM=0.5556
image=96, PSNR=22.4040, SSIM=0.6401
image=100, PSNR=21.7208, SSIM=0.5817
image=103, PSNR=20.8846, SSIM=0.5309
image=108, PSNR=21.2131, SSIM=0.5586
image=113, PSNR=23.1556, SSIM=0.6465
image=116, PSNR=21.5023, SSIM=0.5905
image=119, PSNR=22.9800, SSIM=0.6508
image=123, PSNR=21.9822, SSIM=0.6100
mean_PSNR=22.2252, mean_SSIM=0.6041
