image=15, PSNR=25.8147, SSIM=0.8247
image=18, PSNR=29.3921, SSIM=0.9019
image=21, PSNR=24.2849, SSIM=0.7368
image=25, PSNR=24.4752, SSIM=0.7351
image=31, PSNR=24.5823, SSIM=0.7683
image=34, PSNR=25.5004, SSIM=0.7477
image=38, PSNR=26.3906, SSIM=0.8163
image=41, PSNR=26.2178, SSIM=0.8125
image=44, PSNR=27.6017, SSIM=0.8754
image=51, PSNR=26.7540, SSIM=0.8392
image=59, PSNR=28.3301, SSIM=0.8815
image=64, PSNR=27.9186, SSIM=0.8974
image=69, PSNR=26.6925, SSIM=0.8674
image=75, PSNR=25.1306, SSIM=0.7858
image=78, PSNR=27.4173, SSIM=0.8921
image=83, PSNR=30.6602, SSIM=0.9489
image=89, PSNR=22.7172, SSIM=0.6636
image=96, PSNR=21.7464, SSIM=0.6004
image=101, PSNR=28.0617, SSIM=0.9092
image=104, PSNR=26.0697, SSIM=0.8195
image=108, PSNR=23.9461, SSIM=0.7460
image=112, PSNR=22.9070, SSIM=0.7018
image=116, PSNR=25.7103, SSIM=0.8227
image=119, PSNR=21.2203, SSIM=0.5646
image=123, PSNR=24.1383, SSIM=0.7338
mean_PSNR=25.7472, mean_SSIM=0.7957
