image=15, PSNR=20.9664, SSIM=0.5241
image=18, PSNR=23.2802, SSIM=0.6392
image=21, PSNR=21.9631, SSIM=0.5824
image=25, PSNR=21.7497, SSIM=0.5867
image=31, PSNR=23.4389, SSIM=0.6688
image=34, PSNR=23.1493, SSIM=0.6101
image=38, PSNR=22.4236, SSIM=0.5882
image=41, PSNR=22.3662, SSIM=0.5874
image=44, PSNR=21.9661, SSIM=0.5865
image=51, PSNR=22.8673, SSIM=0.6209
image=59, PSNR=23.3599, SSIM=0.6495
image=64, PSNR=22.4584, SSIM=0.6219
image=69, PSNR=21.9896, SSIM=0.5975
image=75, PSNR=22.5711, SSIM=0.6188
image=78, PSNR=20.7874, SSIM=0.5305
image=83, PSNR=22.5446, SSIM=0.6037
image=89, PSNR=20.8141, SSIM=0.5067
image=96, PSNR=20.5953, SSIM=0.4742
image=101, PSNR=21.4771, SSIM=0.5507
image=104, PSNR=22.5120, SSIM=0.6014
image=108, PSNR=20.4136, SSIM=0.4747
image=112, PSNR=20.0128, SSIM=0.4474
image=116, PSNR=22.4532, SSIM=0.6123
image=119, PSNR=20.4525, SSIM=0.5223
image=123, PSNR=22.6041, SSIM=0.6113
mean_PSNR=21.9687, mean_SSIM=0.5767
