step = 1, loss = 3.862841796875
step = 100, loss = 1471979.975438586
step = 200, loss = 0.14774962976574899
step = 300, loss = 0.12509861446917056
step = 400, loss = 0.11258375957608223
step = 500, loss = 0.10791341237723827
step = 600, loss = 0.1062567812204361
step = 700, loss = 0.10453898333013058
step = 800, loss = 0.10053136125206948
step = 900, loss = 0.09641955435276031
step = 1000, loss = 0.09542366318404674
step = 1100, loss = 0.09797588907182217
step = 1200, loss = 0.09405497714877128
step = 1300, loss = 0.09410996757447719
step = 1400, loss = 0.09323024466633796
step = 1500, loss = 0.09234056934714317
step = 1600, loss = 0.09112627811729908
step = 1700, loss = 0.09183396406471729
step = 1800, loss = 0.08950689621269703
step = 1900, loss = 0.09037350043654442
step = 2000, loss = 0.08830750197172164
step = 2100, loss = 0.08878094971179962
step = 2200, loss = 0.08997408829629422
step = 2300, loss = 0.08752942062914372
step = 2400, loss = 0.08783219411969184
step = 2500, loss = 0.08965368829667568
step = 2600, loss = 0.08703613437712193
step = 2700, loss = 0.08581765308976173
step = 2800, loss = 0.08723733447492123
step = 2900, loss = 0.0868233796954155
step = 3000, loss = 0.0851546186208725
step = 3100, loss = 0.08551624901592732
step = 3200, loss = 0.08483097150921821
step = 3300, loss = 0.0852019365131855
step = 3400, loss = 0.08406948745250702
step = 3500, loss = 0.08512391142547131
step = 3600, loss = 0.08534410111606121
step = 3700, loss = 0.08532093703746796
step = 3800, loss = 0.08414470456540585
step = 3900, loss = 0.08333403989672661
step = 4000, loss = 0.0823789707571268
step = 4100, loss = 0.08255178555846214
step = 4200, loss = 0.08363277204334736
step = 4300, loss = 0.08232886783778667
step = 4400, loss = 0.08187138974666595
step = 4500, loss = 0.08189878419041634
step = 4600, loss = 0.08180271618068219
step = 4700, loss = 0.08211329020559788
step = 4800, loss = 0.08076651990413666
step = 4900, loss = 0.08140726916491986
step = 5000, loss = 0.0808075176924467
step = 5100, loss = 0.08116335019469262
step = 5200, loss = 0.08006462119519711
step = 5300, loss = 0.08229167133569718
step = 5400, loss = 0.08109246470034122
step = 5500, loss = 0.08017729170620441
step = 5600, loss = 0.08079873397946358
step = 5700, loss = 0.08230012014508248
step = 5800, loss = 0.08066569440066815
step = 5900, loss = 0.07945693112909794
step = 6000, loss = 0.07921225726604461
step = 6100, loss = 0.07871717475354671
step = 6200, loss = 0.07914839588105678
step = 6300, loss = 0.07913507208228111
step = 6400, loss = 0.0797991856187582
step = 6500, loss = 0.07866494655609131
step = 6600, loss = 0.08091701373457909
step = 6700, loss = 0.07852285221219063
step = 6800, loss = 0.07852434277534485
step = 6900, loss = 0.07868135631084443
step = 7000, loss = 0.07937080308794975
step = 7100, loss = 0.07804880693554878
step = 7200, loss = 0.07838185995817185
step = 7300, loss = 0.07786710508167743
step = 7400, loss = 0.07756484523415566
step = 7500, loss = 0.07718721896409989
step = 7600, loss = 0.07744671247899532
step = 7700, loss = 0.07734649732708931
step = 7800, loss = 0.07731531240046025
step = 7900, loss = 0.07768350400030613
step = 8000, loss = 0.07769422680139541
step = 8100, loss = 0.07840565584599972
step = 8200, loss = 0.07668128982186317
step = 8300, loss = 0.0773550083488226
step = 8400, loss = 0.07658198468387127
step = 8500, loss = 0.0766420192271471
step = 8600, loss = 0.07646468676626682
step = 8700, loss = 0.07639440588653088
step = 8800, loss = 0.07704999193549156
step = 8900, loss = 0.07686179354786873
step = 9000, loss = 0.07609892778098583
step = 9100, loss = 0.07691105119884015
step = 9200, loss = 0.0763380316644907
step = 9300, loss = 0.0772766723483801
step = 9400, loss = 0.07675370380282402
step = 9500, loss = 0.07616026312112809
step = 9600, loss = 0.0763094612210989
step = 9700, loss = 0.0771014329791069
step = 9800, loss = 0.07806774251163005
step = 9900, loss = 0.07635143123567105
step = 10000, loss = 0.07555771015584468
step = 10100, loss = 0.07583197943866253
step = 10200, loss = 0.0767158716917038
step = 10300, loss = 0.0765216288715601
step = 10400, loss = 0.07581421390175819
step = 10500, loss = 0.07542072482407093
step = 10600, loss = 0.07515130899846553
step = 10700, loss = 0.07487925514578819
step = 10800, loss = 0.0762656980007887
step = 10900, loss = 0.07427684962749481
step = 11000, loss = 0.07516965717077255
step = 11100, loss = 0.07500552088022232
step = 11200, loss = 0.07514729522168637
step = 11300, loss = 0.0750540752708912
step = 11400, loss = 0.0762670487165451
step = 11500, loss = 0.07460218466818333
step = 11600, loss = 0.07472925528883934
step = 11700, loss = 0.07456848926842213
step = 11800, loss = 0.07498664915561676
step = 11900, loss = 0.07521485738456249
step = 12000, loss = 0.07422726817429065
step = 12100, loss = 0.0744185508787632
step = 12200, loss = 0.07426534779369831
step = 12300, loss = 0.07468667350709439
step = 12400, loss = 0.07507799066603184
step = 12500, loss = 0.07516878850758076
step = 12600, loss = 0.07383492022752762
step = 12700, loss = 0.07418265171349049
step = 12800, loss = 0.07455937929451466
step = 12900, loss = 0.07443132966756821
step = 13000, loss = 0.07375759288668632
step = 13100, loss = 0.0745324794203043
step = 13200, loss = 0.07414904654026032
step = 13300, loss = 0.07393582917749882
step = 13400, loss = 0.0743290564417839
step = 13500, loss = 0.07416998483240604
step = 13600, loss = 0.07366300843656064
step = 13700, loss = 0.07399576246738433
step = 13800, loss = 0.07392264261841774
step = 13900, loss = 0.07384433321654797
step = 14000, loss = 0.07413622751832008
step = 14100, loss = 0.07411587893962861
step = 14200, loss = 0.07420054234564305
step = 14300, loss = 0.07453738421201705
step = 14400, loss = 0.07455886535346508
step = 14500, loss = 0.07396649800240994
step = 14600, loss = 0.07320123374462127
step = 14700, loss = 0.07351896479725838
step = 14800, loss = 0.0734933802485466
step = 14900, loss = 0.07481670208275318
step = 15000, loss = 0.0730427273362875
step = 15100, loss = 0.07286462306976318
step = 15200, loss = 0.07317579343914986
step = 15300, loss = 0.07354257442057133
step = 15400, loss = 0.07367088377475739
step = 15500, loss = 0.07242567509412766
step = 15600, loss = 0.07365662947297097
step = 15700, loss = 0.07344100393354892
step = 15800, loss = 0.07317010253667831
step = 15900, loss = 0.0735626408457756
step = 16000, loss = 0.07270818747580052
step = 16100, loss = 0.07293344967067242
step = 16200, loss = 0.07245658524334431
step = 16300, loss = 0.07278702929615974
step = 16400, loss = 0.07221215911209583
step = 16500, loss = 0.07186443157494068
step = 16600, loss = 0.0722258135676384
step = 16700, loss = 0.07296360917389393
step = 16800, loss = 0.07206233404576778
step = 16900, loss = 0.0731876115500927
step = 17000, loss = 0.07253592178225517
step = 17100, loss = 0.07214116305112839
step = 17200, loss = 0.07226549193263054
step = 17300, loss = 0.07201567694544792
step = 17400, loss = 0.07328200332820416
step = 17500, loss = 0.07252027109265327
step = 17600, loss = 0.07220186643302441
step = 17700, loss = 0.07149168968200684
step = 17800, loss = 0.07165212720632554
step = 17900, loss = 0.07207126915454865
step = 18000, loss = 0.07136659532785415
step = 18100, loss = 0.07169536992907524
step = 18200, loss = 0.07162635818123818
step = 18300, loss = 0.07190960958600044
step = 18400, loss = 0.07186343684792519
step = 18500, loss = 0.0719107025116682
step = 18600, loss = 0.07151019588112831
step = 18700, loss = 0.07153685547411442
step = 18800, loss = 0.07167421914637088
step = 18900, loss = 0.071812344789505
step = 19000, loss = 0.07145421631634236
step = 19100, loss = 0.07160232990980148
step = 19200, loss = 0.07142584882676602
step = 19300, loss = 0.07175976745784282
step = 19400, loss = 0.07207960776984691
step = 19500, loss = 0.07109508663415909
step = 19600, loss = 0.07134773310273886
step = 19700, loss = 0.07080506503582001
step = 19800, loss = 0.07135726124048233
step = 19900, loss = 0.0718983468413353
step = 20000, loss = 0.07140485867857933
step = 20100, loss = 0.07140060149133205
step = 20200, loss = 0.07155093938112259
step = 20300, loss = 0.07118407301604748
step = 20400, loss = 0.0714078764617443
step = 20500, loss = 0.07176375217735767
step = 20600, loss = 0.07110665671527386
step = 20700, loss = 0.07111792590469122
step = 20800, loss = 0.07081143401563167
step = 20900, loss = 0.07103628493845462
step = 21000, loss = 0.0704980756342411
step = 21100, loss = 0.07092026121914387
step = 21200, loss = 0.07089841037988663
step = 21300, loss = 0.07105963833630086
step = 21400, loss = 0.0697947807610035
step = 21500, loss = 0.07022212103009223
step = 21600, loss = 0.07119092449545861
step = 21700, loss = 0.07082888849079609
step = 21800, loss = 0.07124444164335728
step = 21900, loss = 0.0707699877023697
step = 22000, loss = 0.0698769300431013
step = 22100, loss = 0.07002131797373295
step = 22200, loss = 0.0703168886899948
step = 22300, loss = 0.07091972030699253
step = 22400, loss = 0.07070419192314148
step = 22500, loss = 0.07054496094584466
step = 22600, loss = 0.0702703383937478
step = 22700, loss = 0.07067050576210022
step = 22800, loss = 0.07058850381523371
step = 22900, loss = 0.07078628703951835
step = 23000, loss = 0.07020718872547149
step = 23100, loss = 0.07073662370443344
step = 23200, loss = 0.07024122022092343
step = 23300, loss = 0.07030100334435702
step = 23400, loss = 0.07034777656197548
step = 23500, loss = 0.07020536199212074
step = 23600, loss = 0.0705798663944006
step = 23700, loss = 0.07026253663003444
step = 23800, loss = 0.0694064062833786
step = 23900, loss = 0.06982054799795151
step = 24000, loss = 0.07041925840079784
step = 24100, loss = 0.06982271358370781
step = 24200, loss = 0.07051338873803616
step = 24300, loss = 0.07133051872253418
step = 24400, loss = 0.07061949104070664
step = 24500, loss = 0.07045820884406567
step = 24600, loss = 0.07053970649838448
step = 24700, loss = 0.07026675760746003
step = 24800, loss = 0.06985169231891632
step = 24900, loss = 0.07091400422155857
step = 25000, loss = 0.06993902415037155
step = 25100, loss = 0.0699671420454979
step = 25200, loss = 0.06939649194478989
step = 25300, loss = 0.07001607358455658
step = 25400, loss = 0.06970861833542585
step = 25500, loss = 0.06932756956666708
step = 25600, loss = 0.06915681406855584
step = 25700, loss = 0.06935862101614475
step = 25800, loss = 0.06953972905874252
step = 25900, loss = 0.06983585942536592
step = 26000, loss = 0.07030111093074083
step = 26100, loss = 0.0704332435876131
step = 26200, loss = 0.06986191317439079
step = 26300, loss = 0.06977942161262035
step = 26400, loss = 0.0694921601563692
step = 26500, loss = 0.06976774763315916
step = 26600, loss = 0.06995156519114971
step = 26700, loss = 0.0702886388450861
step = 26800, loss = 0.07008325785398484
step = 26900, loss = 0.06903873365372419
step = 27000, loss = 0.0698334165662527
step = 27100, loss = 0.06978064715862274
step = 27200, loss = 0.06938985049724579
step = 27300, loss = 0.06926059983670711
step = 27400, loss = 0.06908633574843406
step = 27500, loss = 0.07001993142068386
step = 27600, loss = 0.06916634365916252
step = 27700, loss = 0.06879824385046959
step = 27800, loss = 0.06944080017507076
step = 27900, loss = 0.06974395863711834
step = 28000, loss = 0.06939817540347576
step = 28100, loss = 0.0689314679801464
step = 28200, loss = 0.0689779557287693
step = 28300, loss = 0.06906334303319454
step = 28400, loss = 0.06965840540826321
step = 28500, loss = 0.06856020517647267
step = 28600, loss = 0.06965320151299238
step = 28700, loss = 0.06923779018223286
step = 28800, loss = 0.06970424711704254
step = 28900, loss = 0.06852919451892375
step = 29000, loss = 0.0689939420670271
step = 29100, loss = 0.06911492601037025
step = 29200, loss = 0.06951075434684753
step = 29300, loss = 0.06885800275951624
step = 29400, loss = 0.06915895916521549
step = 29500, loss = 0.06899783745408058
step = 29600, loss = 0.06919150553643703
step = 29700, loss = 0.0685720632225275
step = 29800, loss = 0.0694693810492754
step = 29900, loss = 0.06903661098331212
step = 30000, loss = 0.06885255068540573
step = 30100, loss = 0.06876851815730334
step = 30200, loss = 0.0690642037987709
step = 30300, loss = 0.06891277603805065
step = 30400, loss = 0.0685785061493516
step = 30500, loss = 0.06828054912388325
step = 30600, loss = 0.06920203648507595
step = 30700, loss = 0.06866776071488857
step = 30800, loss = 0.06971357651054859
step = 30900, loss = 0.06882378041744232
step = 31000, loss = 0.06895135395228863
step = 31100, loss = 0.06857513926923275
step = 31200, loss = 0.06853731222450733
