step = 1, loss = 0.1728300094604492
step = 100, loss = 17.257392807006838
step = 200, loss = 17.079643497467043
step = 300, loss = 17.03233973503113
step = 400, loss = 17.135539083480836
step = 500, loss = 16.86031717300415
step = 600, loss = 17.14243190765381
step = 700, loss = 16.939874725341795
step = 800, loss = 16.88289529800415
step = 900, loss = 17.05158664703369
step = 1000, loss = 17.171603231430055
step = 1100, loss = 17.03168318748474
step = 1200, loss = 17.219379653930662
step = 1300, loss = 16.94738543510437
step = 1400, loss = 17.18817021369934
step = 1500, loss = 17.6000404548645
step = 1600, loss = 17.195370330810547
step = 1700, loss = 17.05646593093872
step = 1800, loss = 17.191349773406984
step = 1900, loss = 16.704351501464842
step = 2000, loss = 17.248808727264404
step = 2100, loss = 17.593171310424804
step = 2200, loss = 17.31399158477783
step = 2300, loss = 17.059321365356446
step = 2400, loss = 16.724546813964842
step = 2500, loss = 17.188161668777465
step = 2600, loss = 16.721849098205567
step = 2700, loss = 16.38877770423889
step = 2800, loss = 16.035074863433838
step = 2900, loss = 15.28895523071289
step = 3000, loss = 15.088473653793335
step = 3100, loss = 15.03585880279541
step = 3200, loss = 15.142290925979614
step = 3300, loss = 14.8333962059021
step = 3400, loss = 14.648880920410157
step = 3500, loss = 14.582160959243774
step = 3600, loss = 14.123245611190796
step = 3700, loss = 13.783529415130616
step = 3800, loss = 13.206706819534302
step = 3900, loss = 13.085866966247558
step = 4000, loss = 12.778317909240723
step = 4100, loss = 12.576485185623168
step = 4200, loss = 12.486563663482666
step = 4300, loss = 12.039117403030396
step = 4400, loss = 11.690080184936523
step = 4500, loss = 11.450734605789185
step = 4600, loss = 11.2062721824646
step = 4700, loss = 10.927690076828004
step = 4800, loss = 10.860831813812256
step = 4900, loss = 10.967433681488037
step = 5000, loss = 10.846022415161134
step = 5100, loss = 10.744265956878662
step = 5200, loss = 11.154460964202881
step = 5300, loss = 10.605485372543335
step = 5400, loss = 10.442391147613526
step = 5500, loss = 10.702102069854737
step = 5600, loss = 10.154774794578552
step = 5700, loss = 10.108722772598266
step = 5800, loss = 10.207059993743897
step = 5900, loss = 10.152154650688171
step = 6000, loss = 10.14389762878418
step = 6100, loss = 10.186179971694946
step = 6200, loss = 10.285223903656005
step = 6300, loss = 10.260966444015503
step = 6400, loss = 9.9619460105896
step = 6500, loss = 10.080840005874634
step = 6600, loss = 10.152420778274536
step = 6700, loss = 10.123721079826355
step = 6800, loss = 10.176238193511963
step = 6900, loss = 10.080414113998414
step = 7000, loss = 10.048605904579162
step = 7100, loss = 9.892764863967896
step = 7200, loss = 9.893124794960022
step = 7300, loss = 9.658552274703979
step = 7400, loss = 10.076670594215393
step = 7500, loss = 9.98232120513916
step = 7600, loss = 9.801866183280945
step = 7700, loss = 9.911434092521667
step = 7800, loss = 9.717802615165711
step = 7900, loss = 9.651326670646668
step = 8000, loss = 9.912473974227906
step = 8100, loss = 9.82171498298645
step = 8200, loss = 9.677415971755982
step = 8300, loss = 9.691039080619811
step = 8400, loss = 9.637488479614257
step = 8500, loss = 9.76376482963562
step = 8600, loss = 9.748969597816467
step = 8700, loss = 9.831916117668152
step = 8800, loss = 9.645698447227478
step = 8900, loss = 9.644147582054138
step = 9000, loss = 9.734374599456787
step = 9100, loss = 9.64816282749176
step = 9200, loss = 9.594431009292602
step = 9300, loss = 9.69572868347168
step = 9400, loss = 9.482141189575195
step = 9500, loss = 9.649642648696899
step = 9600, loss = 9.591924138069153
step = 9700, loss = 9.580611276626588
step = 9800, loss = 9.540403661727906
step = 9900, loss = 9.528526725769042
step = 10000, loss = 9.599059863090515
step = 10100, loss = 9.528360977172852
step = 10200, loss = 9.673496193885804
step = 10300, loss = 9.479292511940002
step = 10400, loss = 9.62902193069458
step = 10500, loss = 9.606639685630798
step = 10600, loss = 9.639656853675842
step = 10700, loss = 9.576944317817688
step = 10800, loss = 9.466380982398986
step = 10900, loss = 9.507323689460755
step = 11000, loss = 9.575323204994202
step = 11100, loss = 9.641904745101929
step = 11200, loss = 9.45362545967102
step = 11300, loss = 9.668183617591858
step = 11400, loss = 9.55276665210724
step = 11500, loss = 9.624870676994323
step = 11600, loss = 9.736096272468567
step = 11700, loss = 9.51337516784668
step = 11800, loss = 9.412674341201782
step = 11900, loss = 9.574581365585328
step = 12000, loss = 9.38345235824585
step = 12100, loss = 9.285362439155579
step = 12200, loss = 9.419033584594727
step = 12300, loss = 9.461069712638855
step = 12400, loss = 9.56477216720581
step = 12500, loss = 9.420431518554688
step = 12600, loss = 9.366761770248413
step = 12700, loss = 9.547265062332153
step = 12800, loss = 9.362803897857667
step = 12900, loss = 9.369782333374024
step = 13000, loss = 9.43471326828003
step = 13100, loss = 9.460013728141785
step = 13200, loss = 9.298291382789612
step = 13300, loss = 9.64442481994629
step = 13400, loss = 9.264836597442628
step = 13500, loss = 9.469559235572815
step = 13600, loss = 9.427021532058715
step = 13700, loss = 9.365448236465454
step = 13800, loss = 9.390673613548278
step = 13900, loss = 9.507194309234619
step = 14000, loss = 9.590739078521729
step = 14100, loss = 9.484910249710083
step = 14200, loss = 9.273831768035889
step = 14300, loss = 9.335286455154419
step = 14400, loss = 9.169730854034423
step = 14500, loss = 9.314617791175841
step = 14600, loss = 9.343531923294067
step = 14700, loss = 9.401972947120667
step = 14800, loss = 9.241164116859435
step = 14900, loss = 9.383952102661134
step = 15000, loss = 9.250126128196717
step = 15100, loss = 9.297593059539794
step = 15200, loss = 9.257636914253235
step = 15300, loss = 9.287122459411622
step = 15400, loss = 9.351740288734437
step = 15500, loss = 9.48489405155182
step = 15600, loss = 9.495195698738097
step = 15700, loss = 9.264262509346008
step = 15800, loss = 9.192278351783752
step = 15900, loss = 9.165734491348267
step = 16000, loss = 9.28759021282196
step = 16100, loss = 9.421025314331054
step = 16200, loss = 9.249694027900695
step = 16300, loss = 9.339521336555482
step = 16400, loss = 9.247888898849487
step = 16500, loss = 9.361078910827636
step = 16600, loss = 9.40267288684845
step = 16700, loss = 9.286208143234253
step = 16800, loss = 9.168910202980042
step = 16900, loss = 9.04055510520935
step = 17000, loss = 9.151020789146424
step = 17100, loss = 9.26394983291626
step = 17200, loss = 9.502377619743347
step = 17300, loss = 9.237053833007813
step = 17400, loss = 9.23736577987671
step = 17500, loss = 9.140837345123291
step = 17600, loss = 9.139055156707764
step = 17700, loss = 9.256925721168518
step = 17800, loss = 9.250716395378113
step = 17900, loss = 9.368844413757325
step = 18000, loss = 9.167548723220825
step = 18100, loss = 9.007760734558106
step = 18200, loss = 9.179150075912476
step = 18300, loss = 8.712405247688293
step = 18400, loss = 8.579629530906677
step = 18500, loss = 8.099718499183655
step = 18600, loss = 7.8406436729431155
step = 18700, loss = 7.563923115730286
step = 18800, loss = 7.317517213821411
step = 18900, loss = 7.186846656799316
step = 19000, loss = 7.299999794960022
step = 19100, loss = 7.033697800636292
step = 19200, loss = 6.820323586463928
