step = 1, loss = 0.004951140284538269
step = 100, loss = 0.4814069655537605
step = 200, loss = 0.10746498242020606
step = 300, loss = 0.0735401301831007
step = 400, loss = 0.0704677315056324
step = 500, loss = 0.0679144037514925
step = 600, loss = 0.06565652474761009
step = 700, loss = 0.06375614460557699
step = 800, loss = 0.06411285687237978
step = 900, loss = 0.06388267289847135
step = 1000, loss = 0.06277360379695893
step = 1100, loss = 0.06215023647993803
step = 1200, loss = 0.062389931082725524
step = 1300, loss = 0.062371162697672844
step = 1400, loss = 0.06168979607522487
step = 1500, loss = 0.062039945460855964
step = 1600, loss = 0.06143649823963642
step = 1700, loss = 0.061163130179047585
step = 1800, loss = 0.060307456701993944
step = 1900, loss = 0.06038736581802368
step = 2000, loss = 0.06021682020276785
step = 2100, loss = 0.06023065350949764
step = 2200, loss = 0.059889215789735314
step = 2300, loss = 0.059586291946470735
step = 2400, loss = 0.059567175805568695
step = 2500, loss = 0.05937818184494972
step = 2600, loss = 0.0588179462403059
step = 2700, loss = 0.05861008316278458
step = 2800, loss = 0.05763731110841036
step = 2900, loss = 0.058078540191054344
step = 3000, loss = 0.05779661029577255
step = 3100, loss = 0.057025354616343976
step = 3200, loss = 0.056797231771051886
step = 3300, loss = 0.056277431324124334
step = 3400, loss = 0.05589769382029772
step = 3500, loss = 0.05592516146600247
step = 3600, loss = 0.05574166156351566
step = 3700, loss = 0.0551430394500494
step = 3800, loss = 0.05493854012340307
step = 3900, loss = 0.05498640201985836
step = 4000, loss = 0.05444998875260353
step = 4100, loss = 0.05401891984045506
step = 4200, loss = 0.05396283105015755
step = 4300, loss = 0.053853838555514816
step = 4400, loss = 0.052978029921650883
step = 4500, loss = 0.05229545842856169
step = 4600, loss = 0.05183907996863127
step = 4700, loss = 0.051776993088424206
step = 4800, loss = 0.05126714698970318
step = 4900, loss = 0.051530202478170396
step = 5000, loss = 0.050767638571560386
step = 5100, loss = 0.0505099856108427
step = 5200, loss = 0.05096481706947088
step = 5300, loss = 0.05108720850199461
step = 5400, loss = 0.05024260230362415
step = 5500, loss = 0.05039761282503605
step = 5600, loss = 0.05102463953197003
step = 5700, loss = 0.050095568522810933
step = 5800, loss = 0.05056938089430332
step = 5900, loss = 0.05037008445709944
step = 6000, loss = 0.04992106974124908
step = 6100, loss = 0.050221970938146114
step = 6200, loss = 0.04941470939666033
step = 6300, loss = 0.05008169159293175
step = 6400, loss = 0.04947709929198027
step = 6500, loss = 0.050216338597238064
step = 6600, loss = 0.05002767980098724
step = 6700, loss = 0.04937472779303789
step = 6800, loss = 0.049626489728689195
step = 6900, loss = 0.04993429459631443
step = 7000, loss = 0.04921573981642723
step = 7100, loss = 0.050195546075701716
step = 7200, loss = 0.04893563020974398
step = 7300, loss = 0.04930892046540976
step = 7400, loss = 0.04927150931209326
step = 7500, loss = 0.04923134736716747
step = 7600, loss = 0.048912400230765346
step = 7700, loss = 0.0493223050609231
step = 7800, loss = 0.04897081911563873
step = 7900, loss = 0.04911579437553883
step = 8000, loss = 0.049185922630131246
step = 8100, loss = 0.04897224448621273
step = 8200, loss = 0.048961979672312736
step = 8300, loss = 0.04910130694508553
step = 8400, loss = 0.04908028971403837
step = 8500, loss = 0.049285351447761055
step = 8600, loss = 0.04914349664002657
step = 8700, loss = 0.048536553010344506
step = 8800, loss = 0.04879096791148186
step = 8900, loss = 0.04881434619426727
step = 9000, loss = 0.048697527423501016
step = 9100, loss = 0.049151638858020305
step = 9200, loss = 0.049105899035930635
step = 9300, loss = 0.04850208654999733
step = 9400, loss = 0.04911522034555674
step = 9500, loss = 0.04841834519058466
step = 9600, loss = 0.04889061637222767
step = 9700, loss = 0.04853026285767555
step = 9800, loss = 0.04822694353759289
step = 9900, loss = 0.04902252532541752
step = 10000, loss = 0.04880577247589826
step = 10100, loss = 0.048556814417243
step = 10200, loss = 0.048397924490273
step = 10300, loss = 0.0480569938197732
step = 10400, loss = 0.04849802535027266
step = 10500, loss = 0.04796375010162592
step = 10600, loss = 0.048087383285164834
step = 10700, loss = 0.04788383737206459
step = 10800, loss = 0.04818082831799984
step = 10900, loss = 0.048228509277105334
step = 11000, loss = 0.048111420646309855
step = 11100, loss = 0.04808688558638096
step = 11200, loss = 0.048040538020432
step = 11300, loss = 0.04830617282539606
step = 11400, loss = 0.04829062558710575
step = 11500, loss = 0.047936599366366864
step = 11600, loss = 0.048031189776957035
step = 11700, loss = 0.0480058803409338
step = 11800, loss = 0.048433068431913855
step = 11900, loss = 0.04720659054815769
step = 12000, loss = 0.048417494036257266
step = 12100, loss = 0.04787923663854599
step = 12200, loss = 0.04762036051601171
step = 12300, loss = 0.048189744837582114
step = 12400, loss = 0.04777453124523163
step = 12500, loss = 0.04755738753825426
step = 12600, loss = 0.04789591103792191
step = 12700, loss = 0.047802358642220495
step = 12800, loss = 0.04786995317786932
step = 12900, loss = 0.04768241260200739
step = 13000, loss = 0.048011237978935244
step = 13100, loss = 0.04783837798982859
step = 13200, loss = 0.048163135387003425
step = 13300, loss = 0.04785630829632282
step = 13400, loss = 0.047931052222847936
step = 13500, loss = 0.04751715809106827
step = 13600, loss = 0.04777930699288845
step = 13700, loss = 0.04797334998846054
step = 13800, loss = 0.04740902367979288
step = 13900, loss = 0.047831497229635714
step = 14000, loss = 0.04778020925819874
step = 14100, loss = 0.048129821605980394
step = 14200, loss = 0.047111652605235574
step = 14300, loss = 0.04747007735073566
step = 14400, loss = 0.04757300812751055
step = 14500, loss = 0.04730410221964121
step = 14600, loss = 0.04791265588253737
step = 14700, loss = 0.047380012646317485
step = 14800, loss = 0.047474701516330244
step = 14900, loss = 0.04779004197567702
step = 15000, loss = 0.04778185795992613
step = 15100, loss = 0.047649270445108416
step = 15200, loss = 0.04721117075532675
step = 15300, loss = 0.04723136972635984
step = 15400, loss = 0.047398957833647726
step = 15500, loss = 0.04730375424027443
step = 15600, loss = 0.0476132757216692
step = 15700, loss = 0.04752545673400164
step = 15800, loss = 0.047465986274182796
step = 15900, loss = 0.04778204962611198
step = 16000, loss = 0.0473887799307704
step = 16100, loss = 0.04764872770756483
step = 16200, loss = 0.04748784381896257
step = 16300, loss = 0.04762021999806166
step = 16400, loss = 0.047331118434667585
step = 16500, loss = 0.046870281472802165
step = 16600, loss = 0.04723947182297707
step = 16700, loss = 0.04700033199042082
step = 16800, loss = 0.04769765976816416
step = 16900, loss = 0.047301421016454695
step = 17000, loss = 0.04800936963409185
step = 17100, loss = 0.04743152558803558
step = 17200, loss = 0.047501515373587606
step = 17300, loss = 0.04720104269683361
step = 17400, loss = 0.04676974132657051
step = 17500, loss = 0.04763153120875359
step = 17600, loss = 0.047332173436880114
step = 17700, loss = 0.047029849961400035
step = 17800, loss = 0.04796711601316929
step = 17900, loss = 0.047564114853739736
step = 18000, loss = 0.047741819024086
step = 18100, loss = 0.047398471646010874
step = 18200, loss = 0.04730668462812901
step = 18300, loss = 0.0475892336294055
step = 18400, loss = 0.04712450619786978
step = 18500, loss = 0.046840005815029145
step = 18600, loss = 0.047363320179283616
step = 18700, loss = 0.046804022267460825
step = 18800, loss = 0.047389978133142
step = 18900, loss = 0.046362705938518045
step = 19000, loss = 0.047045172825455665
step = 19100, loss = 0.04679203562438488
step = 19200, loss = 0.04735901519656181
step = 19300, loss = 0.046913998313248155
step = 19400, loss = 0.04700099654495716
step = 19500, loss = 0.04703535635024309
step = 19600, loss = 0.04673142440617085
step = 19700, loss = 0.047268194779753685
step = 19800, loss = 0.04672179780900478
step = 19900, loss = 0.0465990949049592
step = 20000, loss = 0.04732126742601395
step = 20100, loss = 0.04706468094140291
step = 20200, loss = 0.04741381037980318
step = 20300, loss = 0.046908180005848406
step = 20400, loss = 0.04685835666954517
step = 20500, loss = 0.04731316663324833
step = 20600, loss = 0.046870231740176675
step = 20700, loss = 0.047188452817499636
